InstructorStrength,InstructorRecommend,CommentsOnEffective
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Forest plots in additional papers were very helpful.","Review questions were not especially relevant.",{question_not_shown}
"Study guides were very helpful",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Study guides were very helpful",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"Perhaps rather than the per day recommended consumption of things (protein, water, etc.) a shorter overview of why we want to reduce protein intake and then a reference page / site for daily recommendations.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"The renal tumors lecture was clear, and the table along with the study guide were a tremendous help.",{question_not_shown},{question_not_shown}
"Dr. Olyaei's lectures are consistently thorough and concise.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"The study guides were very helpful for sorting out all the tubulointerstitial diseases.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Great communication with students. Prompt PR returns.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Provides high yield tables that summarize drugs.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Great study guides and she is enthusiastic when giving a lecture.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Dr. Dirkx is the best!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Your kidney shirt is awesome!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Thank you for the study guide/syllabus!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},"I hope you feel better and that your knee gets better quickly! I'm so sorry to hear about the injury!"
{question_not_shown},{question_not_shown},{question_not_shown}
"Great instructor. Really clear and knowledgable.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"One of the best professors of the block so far. Clear and really engaging lectures.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"I understand that there is not very much time to go through all the material, but I think students would benefit from fewer slides and fewer equation derivations in order to focus in on the material that is present.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Thank you to Drs Troxell and Dirkx for coming with such an integrated and organized program!!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Great lectures! super organized, clear, and effective!!!!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"great lectures!!!! Very organized, clear, and effective.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},"The block exam was very difficult. I had done well on every weekly quiz and then felt very unprepared and unsure on the exam. I did not feel prepared by lecture material for the questions on the block final."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Dr. Gorman does a very nice job of encouraging student-led learning and engagement. He is also very receptive to suggestions. When he lectures, he is very clear and easy to understand.","I would much prefer if epidemiology was taught in a lecture format. The one time when I felt like I understood the material was when we had a lecture about it.",{question_not_shown}
"Dr. Troxell is amazing! I have nothing critical to say. She does an excellent job of combining lecture with interesting and high-yield clinical scenarios.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Dr. Dirkx is amazing! The lectures that Dr. Dirkx and Dr. Troxell gave should be used as models for how to effectively combine lecture and clinical scenarios. Their presentation style is extremely easy to follow, clear, engaging, and effective at demystifying very difficult topics.",None!,{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I really enjoyed the pathology lab that Dr. Houghton organized. Also, the study guides have been so helpful.","The renal vascular disease lecture was a little bit confusing. I think it would be helpful if the slides were organized in a similar way as the study guide.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},"Dr. Houghton doesn't look like this picture at all :)"
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},"the lectures are very dense and too detailed for what is reasonable for us to retain and apply clinically."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I really enjoyed this week's Epidemiology CSL. Splitting up the questions for each chapter and having each member of the group explain and share their reasoning/answer was a great way to learn the material.",{question_not_shown},{question_not_shown}
"Great lecture and study guides! It's really like how your study guides took on a narrative form. This really helped me understand the material.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Fantastic lectures and study guides.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Great connection with the students, and obvious passion for the material.",{question_not_shown},{question_not_shown}
"The use of histological pictures was so helpful.","More slides which compare and contrast different diseases. ie the mesengial proliferative diseases.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Than you for the summary slides, and awesome kid antidotes too! I really appreciate the amount of work put into the lectures.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Wonderful teacher! Enthusiastic, ppts are concise and very well organized",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Clear explanations of different aspects of glomerular disease, tying physiology and pathophysiology back to pathology. Great study guide.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Clear explanations of different aspects of glomerular disease, tying physiology and pathophysiology back to pathology. Great study guide. A great set of lectures this week - thank you!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Clear explanations of pathology concepts and presentations.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I thought that the sample questions assigned from the reading by Dr. Gorman were helpful in my understanding of the material, and felt that the small group guide provided was also great at facilitating my knowledge of some of the epidemiology concepts we learned this week",N/A,{question_not_shown}
"I enjoyed Dr. Troxell's organization of the material and felt that it really helped me understand the material easier.  Her sample diagrams were easy to read and her example pictures illustrated key points.","I think that more sample pathology pictures would be great.","I thought that Dr. Troxell's 'dual lectures' with Dr. Dirkx was very effective in integrating key concepts together in a very efficient manner."
{question_not_shown},{question_not_shown},{question_not_shown}
"Dr. Dirkx was very easy to understand and had great clinical case practice examples to facilitate my learning of the material.  She also had great study guides.",N/A,"I enjoy the study guides that have been provided by Dr. Dirkx each week, and believe that they greatly increase the effectiveness of her lectures.  Furthermore, the 'dual' lecture style she did for a few presentations with Dr. Trowel was great at integrating concepts together at the same time."
{question_not_shown},{question_not_shown},{question_not_shown}
"Dr. Houghton was very helpful during the practice SlideBox session and answered the questions I had very well.",N/A,{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I thought that Dr. McCarthy explained key concepts well and provided effective graphs that illustrated key concepts.","I think that some practice clinical case examples at the end of the lecture to test our knowledge would be helpful, but overall I thought that the lecture was great.",{question_not_shown}
"Dr. Kelso speaks clearly and in a manner that is easy to understand, and is also very receptive to all student feedback and questions.",N/A,{question_not_shown}
{question_not_shown},"I think there was a lot of wasted time on the subject, and that we could really streamline the important material we need for the boards if it were all presented to us in a study guide of epidemiology.","I think it was a lot of wasted time and varied information given depending on the group you were in."
{question_not_shown},"Focus on the board-relevant information and not the extra superfluous stuff.  Really just emphasize what we need for the exam and make it very clear.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Loved all of your personality and flare in lecture, really enjoyed your sections.","Make study guides less of a narrative and more bullet-pointed and organized so that we can look and quickly get to the information we need for the test.  Focus more on board-relevant exam questions and topics.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},"This nutrition lecture was a complete waste of time - I agree that nutrition is important but these are the things you should include Friday afternoons after our exams and people can decide if they want to come or not."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"Turn down your mic - way too loud.","I don't learn anything from the TBL sessions and am considering not going anymore because I feel like I can better use my time studying on my own."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Dr. Gorman's lecture was very interesting, clear and effective. I find that when we do epidemiology reading and small group it is much harder to learn the material because the study guide that facilitators follow is much longer and more detailed than the objectives. And when the people leading small group do not understand epidemiology very well it turns into an even more difficult and confusing process for all parties involved.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Awesome, thought-out lectures! Thank you!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},"The nutrition based lectures continually are low yield. As clinicians, the information that medical students take away from these lectures are what we can contribute to patient are. I do think the depth of work a nutritionist provides is key to achieving overall health, but when the breadth of information students are required to learn is as expansive as it is in medical school these lectures need to focus on key concepts in a straightforward model that students should take away. Though perhaps harsh, if theses lectures maintain their current model I think attendance will continue to dwindle or students will stop paying attention to study higher yield concepts."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},"I didn't have Dr. Gorman this week."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"As usual, Dr. Dirkx's lecture was well organized and she brought a refreshing energy and humor to the subject.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Dr. Houghton is very personable and I felt comfortable asking him questions or for asking for help.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Study Guides are clear and histology lab was good.","More assistants during the lab so people can get questions answered faster.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"There were some discrepancies between the lecture material and the study guide.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},"Troxell and Dirx are an amazing combination. Really appreciated their joint lecturing and their combined study guide!"
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},"Troxell and Dirx are an amazing combination. Really appreciated their joint lecturing and their combined study guide!"
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"The study guides are very helpful. I also found the slidebox lab with cases and accompanying images very helpful and useful for learning the material. Thanks!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I love the study guides. I also like that you keep the slides simple so that when studying I review notes on the slides then can read the study guide for anything that's unclear.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"You were very helpful and attentive to any questions we had!","It would be helpful to have a few more details included on the slides for studying.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I was quite frustrated that mixed acid-base disorder questions were on the pulmonary final without any clear review or recommendation to review this material. While compensation and mixed acid-base disorders were not taught long ago, we had little time to learn delta-deltas in the renal block so I would have liked to review that material before being tested on it.",{question_not_shown},{question_not_shown}
"I am less frustrated by the lecture material than the test questions. I feel that a theme during the pulm section of this block is to expect tricky questions that test random facts that you either memorized or, if you didn't, will get the question wrong. I know that the vast majority of medical education depends on rote memory instead of conceptual understanding but when certain facts are important it would be nice for those facts to be emphasized. Because there are many facts and statistics in each lecture so it becomes very hard to know how to prioritize them. I feel that some of the questions that were on the pulm final were overly dependent on rote memory, and many of the concepts that seemed to be very important from the three weeks were absent from the tested material.",{question_not_shown},{question_not_shown}
"I found Dr. Khans lectures to be a bit disorganized. It felt like he was teaching us about pulmonary hypertension and pulmonary circulation primarily but also throwing in other lessons that he found to be interesting and thought we ought to know. So reviewing the lecture to glean the most relevant information to the lecture topic was challenging.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I always appreciate Dr. Deloughery's enthusiasm.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
